1,2,3,4,5,6,7,8,9,10,11,12.00,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,VEHICLE_MAKE,VEHICLE_BODY,CUBIC_CAPACITY,REGISTRATION_NUMBER,YEAR_OF_MANUFACTURE,ENGINE_NUMBER,CHASSIS_NUMBER,NUMBER_OF _PASSENGERS,GOODS_CARRYING_CAPACITY,DATE_OF_PURCHASE,SUM_INSURED,COVER_TYPE,WINDSCREEN_AMOUNT,RADIO_CASSETTE_AMOUNT,ACCESSORIES_AMOUNT,BAGGAGE_COVER_AMOUNT,TPPD_AMOUNT,TOWING_CHARGE_AMOUNT,REPAIR_AUTHORITY_AMOUNT,MEDICAL_EXPENSES_AMOUNT,BASIC_PREMIUM_AMOUNT,THIRD_PARTY_CLAIM_AMOUNT,CERTIFICATE_NUMBER,REGISTRATION_NUMBER,COVER_TYPE,ROWID,D MARK,POLICY_CODE,VEHICLE_COLOUR,SPARE_WHEEL_AMOUNT,PASSENGER_LEGAL_LIABILITY_AMOUNT,LOG_BOOK_NUMBER,PRIVATE_CAR_CERTIFICATE_NUMBER
37,RENAULT DUSTER,,,KCT301A,,,MEEHSRSGMHA001097,4,,,800000.00,COM,75000,75000,,,20000000,,,,,7500,28460246,,,,,COMP/07/49864/07,,,,,
38,MITSUBISHI OUTLANDER,,,KCT351T,,,JMYXTGF3WKZ000389,4,,,2700000.00,COM,100000,75000,,,20000000,,,,,7500,28460247,,,,,COMP/07/49864/07,,,,,
39,MITSUBISHI PAJERO,,,KCV547Z,,,MMBGUKS10KH010939,4,,,4200000.00,COM,100000,75000,,,20000000,,,,,7500,28460249,,,,,COMP/07/49864/07,,,,,
40,MITSUBISHI PAJERO,,,KCV548Z,,,MMBGUKS10KH012044,4,,,4200000.00,COM,100000,75000,,,20000000,,,,,7500,28460250,,,,,COMP/07/49864/07,,,,,
41,MITSUBISHI LANCER,,,KCW039Y,,,JMYSRCY1AHU001538,4,,,1600000.00,COM,75000,75000,,,20000000,,,,,7500,28460253,,,,,COMP/07/49864/07,,,,,
42,MITUSBISHI PAJERO V98,,,KCX123G,,,JMYLYV98WJJ000369,4,,,4500000.00,COM,120000,75000,,,20000000,,,,,7500,28460254,,,,,COMP/07/49864/07,,,,,
43,MITSUBISHI LANCER,,,KCX128N,,,JMYSRCY1AHU001853,4,,,1400000.00,COM,100000,75000,,,20000000,,,,,7500,28460255,,,,,COMP/07/49864/07,,,,,
44,PROTON SAGA,,,KDD251N,,,PL1BT3SRRLB116587,4,,,1000000.00,COM,75000,75000,,,20000000,,,,,7500,28460276,,,,,COMP/07/49864/07,,,,,
45,PROTON SAGA,,,KDD302N,,,PL1BT3SRRLB116568,4,,,1000000.00,COM,75000,75000,,,20000000,,,,,7500,28460277,,,,,COMP/07/49864/07,,,,,
46,PROTON SAGA,,,KDD317N,,,PL1BT3SRRLB116572,4,,,1000000.00,COM,75000,75000,,,20000000,,,,,7500,28460278,,,,,COMP/07/49864/07,,,,,
47,MITSUBISHI PAJERO V98,,,KDE015R,,,JMYLYV98WMJ000285,4,,,7500000.00,COM,120000,75000,,,20000000,,,,,7500,28460279,,,,,COMP/07/49864/07,,,,,
48,MITSUBISHI OUTLANDER GF3,,,KDE049U,,,JMCJTGF3WJJF00101,4,,,3700000.00,COM,100000,75000,,,20000000,,,,,7500,28460280,,,,,COMP/07/49864/07,,,,,
49,PROTON X70,,,KDE051U,,,PL1NL2EVRMG021811,4,,,3600000.00,COM,120000,75000,,,20000000,,,,,7500,28460281,,,,,COMP/07/49864/07,,,,,
50,MITSUBISHI PICK UP L200,,,KDE266Z,,,MMBJNKL30NH009812,4,,,3500000.00,COM,100000,75000,,,20000000,,,,,7500,28460282,,,,,COMP/07/49864/07,,,,,
51,PROTON X70,,,KDE289Y,,,PL1NL3EVRMG029292,4,,,3800000.00,COM,120000,75000,,,20000000,,,,,7500,28460283,,,,,COMP/07/49864/07,,,,,
